"participantnum","date","ms_condition","dv_order","prous1","prous2","prous3","prous4","prous5","antius1","antius2","antius3","antius4","antius5","cheerful","sad","active","angryatself","disgusted","calm","guilty","enthusiastic","attentive","afraid","joyful","downhearted","bashful","tired","nervous","sheepish","sluggish","amazed","lonely","distressed","daring","shaky","sleepy","blameworthy","surprised","happy","excited","determined","strong","timid","hostile","frightened","scornful","alone","proud","astonished","relaxed","alert","jittery","interested","irritable","upset","lively","loathing","delighted","angry","ashamed","confident","inspired","bold","atease","energetic","fearless","blue","scared","concentrating","disgustedwithself","shy","drowsy","dissatisfiedwithself","countryofbirth","race","americanid","msincomplete","expert","source","location","proauth_avg","antiauth_avg","pro_minus_anti","pass_ER1","pass_ER2","pass_ER3","source_n"
"1",NA,"ms","anti-first",9,7,7,8,7,5,6,5,4,4,"1","1","2","1","1","4","1","1","4","1","1","2","1","3","1","1","2","1","1","1","1","1","3","1","1","1","1","3","2","1","1","1","1","1","2","1","3","2","1","3","1","1","2","1","1","1","1","4","2","4","4","2","5","1","1","4","1","1","3","1","1","4",6,"0",1,"riverside","riverside",7.33333333333333,4.33333333333333,3,TRUE,FALSE,FALSE,107
"2",NA,"ms","anti-first",5,5,5,5,4,4,4,5,4,4,"3","2","3","2","2","3","2","1","1","2","2","2","1","4","4","2","2","2","2","2","2","2","4","2","1","3","2","3","5","1","1","1","1","2","2","1","2","2","1","1","1","2","2","1","2","2","2","2","1","1","1","2","1","2","2","2","1","4","1","1","2","4",4,"0",1,"riverside","riverside",4.66666666666667,4.33333333333333,0.333333333333334,TRUE,FALSE,FALSE,107
"3",NA,"ms","anti-first",7,7,7,6,6,8,8,7,8,7,"2","2","3","2","3","4","1","2","4","2","3","3","3","2","3","2","2","2","2","2","3","2","2","1","3","3","2","3","4","3","2","2","2","2","4","2","4","4","2","3","2","2","2","3","3","2","1","4","3","4","3","2","4","2","2","3","2","3","2","2","2",NA,7,"0",1,"riverside","riverside",6.33333333333333,7.33333333333333,-1,TRUE,FALSE,FALSE,107
"4",NA,"tv","anti-first",7,7,6,6,6,7,5,4,5,4,"3","2","3","4","2","2","2","1","3","3","3","2","3","1","3","4","1","2","3","3","2","1","1","3","4","3","2","4","2","2","3","2","3","2","2","1","2","3","1","2","3","2","1","3","3","2","2","3","2","1","3","3","2","2","2","2","3","2","1","3","1","2",NA,"0",1,"riverside","riverside",6,4.33333333333333,1.66666666666667,TRUE,FALSE,FALSE,107
"5",NA,"ms","pro-first",6,6,4,8,5,5,4,4,4,4,"2","3","2","1","1","2","1","1","4","2","1","1","1","3","2","2","2","1","1","1","1","1","2","1","2","1","1","3","1","2","1","1","1","1","1","1","2","4","1","3","1","1","1","1","1","1","1","1","3","1","1","1","2","2","1","4","1","2","1","1","1","4",NA,"0",1,"riverside","riverside",5.66666666666667,4,1.66666666666667,TRUE,FALSE,FALSE,107
"6",NA,"tv","pro-first",9,9,7,5,8,8,7,9,5,9,"4","4","3","5","1","5","5","3","5","5","3","4","1","5","5","1","2","3","2","4","3","5","5","4","2","3","3","5","3","2","1","4","1","1","1","3","5","5","1","5","1","1","3","1","3","1","5","3","5","1","4","1","1","4","5","5","4","1","5","5","1","5",NA,"0",1,"riverside","riverside",6.66666666666667,7.66666666666667,-1,TRUE,FALSE,FALSE,107
"7",NA,"ms","anti-first",9,9,9,9,9,3,4,5,4,6,"5","2","5","1","1","3","1","5","5","1","5","1","5","4","4","1","2","5","2","1","5","1","3","1","3","4","5","5","5","2","1","1","2","3","5","5","4","5","2","4","2","1","5","1","5","1","1","4","5","5","3","5","5","1","1","4","1","5","1","1","1","4",NA,"0",1,"riverside","riverside",9,5,4,TRUE,FALSE,FALSE,107
"8",NA,"tv","anti-first",8,8,6,8,7,7,8,7,5,6,"2","2","2","1","1","4","1","4","4","1","5","1","1","2","1","1","1","1","2","1","1","1","1","1","1","4","4","4","4","3","1","1","1","2","3","1","4","4","1","4","1","1","4","1","3","1","1","4","4","3","4","3","2","1","1","4","1","2","1","2","1","4",NA,"0",1,"riverside","riverside",7,6,1,TRUE,FALSE,FALSE,107
"9",NA,"ms","pro-first",8,7,8,6,6,8,6,6,6,6,"3","1","1","4","1","4","1","3","4","1","3","1","4","3","2","2","2","1","2","3","1","1","1","3","1","4","2","2","3","2","1","1","1","2","1","1","3","3","1","3","2","1","1","1","3","1","1","3","2","3","3","3","1","1","1","4","1","3","1","4","1","4",NA,"0",1,"riverside","riverside",6.66666666666667,6,0.666666666666667,TRUE,FALSE,FALSE,107
"10",NA,"ms","pro-first",5,5,8,9,6,7,7,9,9,7,"3","1","3","1","1","3","1","4","3","1","5","1","2","3","1","2","2","1","1","1","2","1","2","1","1","4","2","3","5","1","1","1","3","1","4","1","4","1","1","3","1","1","2","2","3","1","1","5","5","3","3","5","5","2","1","5","1","1","1","1","2","2",NA,"0",1,"riverside","riverside",7.66666666666667,8.33333333333333,-0.666666666666667,TRUE,FALSE,FALSE,107
